Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
173,5071389,485000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,200 m²,5.0,1,1,1,8 sot,0.0,0.0
176,5193277,195000,AZN,"['Abşeron r.', 'Novxanı q.']",Həyət evi/Bağ evi,400 m²,7.0,0,0,1,7 sot,0.0,0.0
184,4467069,548000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,300 m²,5.0,1,0,1,7 sot,0.0,0.0
191,4963698,98000,AZN,"['Abşeron r.', 'Masazır q.']",Həyət evi/Bağ evi,130 m²,4.0,1,0,1,1.6 sot,0.0,0.0
195,5048859,590000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,280 m²,5.0,1,1,1,7 sot,0.0,0.0
200,4774710,275000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,170 m²,5.0,1,1,1,4 sot,0.0,0.0
208,5068299,65000,AZN,"['Binəqədi r.', 'Xocəsən q.']",Həyət evi/Bağ evi,100 m²,3.0,0,0,1,2 sot,0.0,0.0
210,4170895,6000,AZN,"['Sabunçu r.', 'Bilgəh q.']",Həyət evi/Bağ evi,400 m²,5.0,0,0,1,12 sot,0.0,0.0
211,5194145,50,AZN,[],Həyət evi/Bağ evi,101 m²,3.0,0,0,1,47 sot,0.0,0.0
217,3515902,200,AZN,"['Sabunçu r.', 'Nardaran q.']",Həyət evi/Bağ evi,320 m²,4.0,0,0,1,14 sot,0.0,0.0
224,4759414,248000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,180 m²,4.0,1,0,1,5 sot,0.0,0.0
236,4780510,190000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,140 m²,4.0,1,1,1,3 sot,0.0,0.0
242,4834999,200,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,400 m²,5.0,0,0,1,12 sot,0.0,0.0
243,5193193,103000,AZN,"['Xocəsən m.', 'Binəqədi r.', 'Sulutəpə q.']",Həyət evi/Bağ evi,100 m²,3.0,0,0,1,5.8 sot,0.0,0.0
244,4014556,650000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,350 m²,5.0,1,0,1,7 sot,0.0,0.0
251,5136823,4000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,120 m²,3.0,0,0,1,5 sot,0.0,0.0
254,4061235,150,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,380 m²,6.0,0,0,1,16 sot,0.0,0.0
258,4774952,590000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,300 m²,6.0,1,0,1,5 sot,0.0,0.0
264,4616917,900000,AZN,"['Səbail r.', 'Şıxov q.']",Həyət evi/Bağ evi,500 m²,5.0,1,0,1,12 sot,0.0,0.0
265,4979691,87000,AZN,[],Həyət evi/Bağ evi,100 m²,4.0,1,0,1,8.5 sot,0.0,0.0
268,3423595,490000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,250 m²,0.0,1,0,1,8 sot,0.0,0.0
269,4277747,355000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,185 m²,4.0,1,0,1,4 sot,0.0,0.0
270,5170931,120000,AZN,"['Suraxanı r.', 'Hövsan q.']",Həyət evi/Bağ evi,140 m²,4.0,1,1,1,3 sot,0.0,0.0
276,5035944,270000,AZN,"['Sabunçu r.', 'Bilgəh q.']",Həyət evi/Bağ evi,140 m²,4.0,0,0,1,10 sot,0.0,0.0
279,5082389,340000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,150 m²,4.0,1,0,1,4 sot,0.0,0.0
285,4250476,240000,AZN,"['Səbail r.', 'Şıxov q.']",Həyət evi/Bağ evi,400 m²,7.0,1,0,1,3.3 sot,0.0,0.0
293,5152749,185000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,150 m²,4.0,1,0,1,3 sot,0.0,0.0
297,5172102,285000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,180 m²,4.0,1,1,1,5 sot,0.0,0.0
302,4324415,690000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,340 m²,7.0,1,1,1,12 sot,0.0,0.0
303,5194257,595000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,300 m²,5.0,1,1,1,8 sot,0.0,0.0
304,5194014,139900,AZN,"['Abşeron r.', 'Mehdiabad q.']",Həyət evi/Bağ evi,240 m²,8.0,1,0,1,6 sot,0.0,0.0
305,4895033,120000,AZN,"['Abşeron r.', 'Mehdiabad q.']",Həyət evi/Bağ evi,120 m²,4.0,1,1,1,3 sot,0.0,0.0
311,5137070,69900,AZN,[],Həyət evi/Bağ evi,160 m²,4.0,0,0,0,2.5 sot,0.0,0.0
312,5193941,118000,AZN,"['Qaradağ r.', 'Sahil q.']",Həyət evi/Bağ evi,282 m²,5.0,0,0,0,2.7 sot,0.0,0.0
316,5193588,89000,AZN,[],Həyət evi/Bağ evi,200 m²,4.0,1,1,1,2.5 sot,0.0,0.0
317,5170057,470000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,250 m²,5.0,1,1,1,4 sot,0.0,0.0
318,5184276,136000,AZN,"['Suraxanı r.', 'Hövsan q.']",Həyət evi/Bağ evi,180 m²,5.0,1,1,1,2.5 sot,0.0,0.0
324,5051710,399000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,200 m²,4.0,1,1,1,3 sot,0.0,0.0
331,4652577,270000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,200 m²,5.0,1,1,1,5.5 sot,0.0,0.0
333,5009424,58000,AZN,"['Abşeron r.', 'Masazır q.']",Həyət evi/Bağ evi,75 m²,3.0,1,1,1,1.2 sot,0.0,0.0
334,4204278,5000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,320 m²,7.0,0,0,1,24 sot,0.0,0.0
335,5105150,260000,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Həyət evi/Bağ evi,220 m²,7.0,1,0,1,1.3 sot,0.0,0.0
