Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
873,3927879,85000,AZN,"['Səbail r.', 'Bayıl q.']",Obyekt,30.6 m²,0.0,1,0,1,0,0.0,0.0
878,5094002,800,AZN,"['Nəriman Nərimanov parkı', 'Rəssamlıq Akademiyası', 'Nəriman Nərimanov m.', 'Nərimanov r.']",Obyekt,70 m²,0.0,0,0,1,0,0.0,0.0
883,4840140,2174150,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.', 'Ağ şəhər q.']",Obyekt,395.3 m²,0.0,0,0,0,0,0.0,0.0
902,5051650,1400000,AZN,"['Beşmərtəbə', 'Nizami m.', 'Qış parkı', 'Nəsimi r.', 'Kubinka q.']",Obyekt,440 m²,0.0,1,0,1,0,0.0,0.0
905,5193681,1600,AZN,"['Gənclik m.', 'Respublika stadionu', 'Nəsimi r.']",Obyekt,80 m²,0.0,0,0,1,0,0.0,0.0
907,5192907,1359000,AZN,"['Dövlət İdarəçilik Akademiyası', 'Prezident parkı', 'Axundov bağı', 'Filarmoniya bağı', 'İçəri Şəhər m.', 'İqtisad Universiteti', 'Şəlalə parkı', 'Nərimanov heykəli', 'Səbail r.']",Obyekt,151 m²,0.0,1,1,1,0,0.0,0.0
913,4582565,330000,AZN,"['Sabunçu r.', 'Bakıxanov q.']",Obyekt,180 m²,0.0,1,1,0,0,0.0,0.0
926,5027770,330000,AZN,['Səbail r.'],Obyekt,150 m²,0.0,1,0,1,0,0.0,0.0
941,5193838,168000,AZN,"['Mərkəzi Univermaq', 'Beşmərtəbə', 'Nizami m.', 'İçəri Şəhər m.', 'Sahil m.', 'Nəsimi r.']",Obyekt,12 m²,0.0,1,0,1,0,0.0,0.0
965,5107069,1200,AZN,"['Xalqlar Dostluğu m.', 'Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Obyekt,52 m²,0.0,0,0,1,0,0.0,0.0
997,4937269,235000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Obyekt,110 m²,0.0,1,1,1,0,0.0,0.0
1018,5193045,6000,AZN,"['Sirk', 'Qış parkı', 'Azərbaycan Dillər Universiteti', 'Zabitlər parkı', '28 May m.', 'Nizami m.', 'Nəsimi r.']",Obyekt,150 m²,0.0,0,0,1,0,0.0,0.0
1027,5179730,820000,AZN,"['Tibb Universiteti', 'Nəsimi bazarı', 'Park Zorge', 'ASAN Xidmət №1', 'Nəsimi r.']",Obyekt,274 m²,0.0,1,0,1,0,0.0,0.0
1066,5147940,3000,AZN,"['Gənclik m.', 'Nərimanov r.']",Obyekt,260 m²,0.0,0,0,1,0,0.0,0.0
1081,5140280,5500,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Obyekt,320 m²,0.0,0,0,1,0,0.0,0.0
1107,4268737,440000,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Obyekt,201 m²,0.0,1,1,1,0,0.0,0.0
