Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
226,5114928,167500,AZN,"['Nərimanov heykəli', 'Sovetski', 'İçəri Şəhər m.', 'Yasamal r.', 'Yasamal q.']",Köhnə tikili,60 m²,2.0,1,1,1,0,7.0,7.0
227,5181864,142000,AZN,"['Xalqlar Dostluğu m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,65 m²,2.0,1,1,1,0,9.0,9.0
229,4314646,250000,AZN,"['Bakı Slavyan Universiteti', '28 May m.', 'Azərbaycan Dillər Universiteti', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Xətai r.', 'Ağ şəhər q.']",Köhnə tikili,75 m²,3.0,1,0,1,0,2.0,5.0
247,5179740,130000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,60 m²,2.0,1,0,1,0,2.0,5.0
253,3872432,60,AZN,"['Nizami m.', 'Beşmərtəbə', 'Nəsimi r.']",Köhnə tikili,120 m²,3.0,0,0,1,0,3.0,4.0
255,5193483,125000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.']",Köhnə tikili,50 m²,2.0,1,0,1,0,1.0,5.0
256,5133053,142000,AZN,"['Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,60 m²,2.0,1,1,1,0,9.0,9.0
259,5193527,450,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,40 m²,2.0,0,0,1,0,2.0,5.0
260,5193915,130000,AZN,"['Azadlıq Prospekti m.', 'Binəqədi r.', '7-ci mikrorayon q.']",Köhnə tikili,58 m²,2.0,1,0,1,0,3.0,5.0
283,5191227,113000,AZN,"['Yasamal bazarı', 'ASAN Xidmət №3', 'İnşaatçılar m.', 'Elmlər Akademiyası m.', 'Yasamal r.', 'Yasamal q.']",Köhnə tikili,36 m²,1.0,1,0,1,0,3.0,5.0
287,5192976,165000,AZN,"['Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,65 m²,3.0,1,0,1,0,8.0,9.0
290,5193000,600,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,65 m²,2.0,0,0,1,0,4.0,5.0
296,5162578,163000,AZN,"['Gənclik m.', 'Respublika stadionu', 'Nərimanov r.']",Köhnə tikili,50 m²,2.0,1,0,1,0,2.0,5.0
315,5161919,333000,AZN,"['Xalça Muzeyi', 'Sahil m.', 'Sahil bağı', 'Xaqani bağı', 'Səbail r.']",Köhnə tikili,101.1 m²,4.0,1,0,1,0,3.0,4.0
322,5189809,930,AZN,"['Sahil m.', 'Xaqani bağı', 'Sahil bağı', 'Xalça Muzeyi', 'Nizami kinoteatrı', 'Pedaqoji Universiteti', '28 May m.', 'Səbail r.']",Köhnə tikili,80 m²,3.0,0,0,1,0,4.0,5.0
323,5192910,155000,AZN,"['Sabunçu r.', 'Bakıxanov q.']",Köhnə tikili,90 m²,3.0,1,1,1,0,4.0,9.0
338,5192739,600000,AZN,"['Sahil m.', 'Səbail r.']",Köhnə tikili,164 m²,4.0,1,0,1,0,4.0,5.0
340,5187598,142000,AZN,"['Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,60 m²,2.0,1,1,1,0,9.0,9.0
343,5130637,135000,AZN,"['Neftçi bazası', 'ASAN Xidmət №1', 'DİM', 'Nərimanov r.']",Köhnə tikili,55 m²,2.0,1,0,1,0,4.0,5.0
349,5193692,350,AZN,"['Neftçilər m.', 'Nizami r.']",Köhnə tikili,35 m²,1.0,0,0,1,0,5.0,5.0
359,5193122,82000,AZN,[],Köhnə tikili,60 m²,2.0,1,0,1,0,2.0,5.0
365,5024921,136000,AZN,"['Xalqlar Dostluğu m.', 'Xətai r.']",Köhnə tikili,60 m²,3.0,1,1,1,0,5.0,9.0
386,5131750,146000,AZN,"['Ukrayna dairəsi', 'Həzi Aslanov m.', 'Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,95 m²,4.0,1,1,0,0,1.0,9.0
402,5144658,550,AZN,"['Ayna Sultanova heykəli', 'Binəqədi r.', '8-ci mikrorayon q.']",Köhnə tikili,60 m²,2.0,0,0,1,0,7.0,9.0
405,5159885,348000,AZN,"['Port Baku', 'Səməd Vurğun parkı', 'Crescent Bay', '28 May m.', 'Nəsimi r.']",Köhnə tikili,112 m²,3.0,1,1,1,0,3.0,16.0
406,5151734,700,AZN,"['Nəriman Nərimanov m.', 'Bakmil m.', 'Nərimanov r.']",Köhnə tikili,80 m²,3.0,0,0,1,0,7.0,9.0
407,5117015,550,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.']",Köhnə tikili,60 m²,2.0,0,0,1,0,2.0,5.0
413,5194048,139000,AZN,"['Yasamal bazarı', 'İnşaatçılar m.', 'Yasamal r.']",Köhnə tikili,60 m²,2.0,1,1,1,0,2.0,5.0
418,5115210,110000,AZN,"['Dövlət Statistika Komitəsi', 'İncəsənət və Mədəniyyət Un.', 'Mərkəzi Park', 'Nizami m.', 'Elmlər Akademiyası m.', 'Yasamal r.']",Köhnə tikili,32 m²,2.0,1,0,1,0,1.0,5.0
420,5193478,700,AZN,"['İzmir parkı', 'M.Hüseynzadə parkı', 'Dövlət Statistika Komitəsi', 'Nizami m.', 'Yasamal r.']",Köhnə tikili,65 m²,3.0,0,0,1,0,3.0,5.0
432,5192865,500,AZN,"['Neftçilər m.', 'Nizami r.']",Köhnə tikili,65 m²,2.0,0,0,1,0,4.0,5.0
437,2401160,60,AZN,"['Fəvvarələr meydanı', 'Azərbaycan kinoteatrı', 'Mərkəzi Univermaq', 'M.Ə.Sabir parkı', 'Xalça Muzeyi', 'Sahil m.', 'İçəri Şəhər m.', 'Səbail r.']",Köhnə tikili,36 m²,2.0,0,0,1,0,4.0,4.0
466,5021237,122000,AZN,"['Memar Əcəmi m.', '20 Yanvar m.', 'Nəsimi r.']",Köhnə tikili,55 m²,2.0,1,0,1,0,2.0,5.0
472,5116097,139500,AZN,"['Yasamal r.', 'Yeni Yasamal q.']",Köhnə tikili,65 m²,3.0,1,0,1,0,1.0,9.0
479,5164425,1600000,AZN,"['Nizami kinoteatrı', 'Milli Konservatoriya', 'Xaqani bağı', 'Bakı Musiqi Akademiyası', 'Sahil bağı', 'Pedaqoji Universiteti', 'Sahil m.', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', '28 May m.', 'Nəsimi r.']",Köhnə tikili,200 m²,4.0,1,0,1,0,3.0,4.0
483,5154231,235000,AZN,"['Əhmədli m.', 'Xalqlar Dostluğu m.', 'Xətai r.']",Köhnə tikili,130 m²,4.0,1,1,1,0,4.0,9.0
485,5173726,189000,AZN,"['Əhmədli m.', 'Xalqlar Dostluğu m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,80 m²,3.0,1,1,1,0,7.0,9.0
486,5194328,108000,AZN,"['Səbail r.', 'Badamdar q.']",Köhnə tikili,32 m²,1.0,1,0,1,0,1.0,3.0
491,4853270,750,AZN,"['Nəsimi bazarı', 'Koala parkı', 'Park Zorge', 'Nəsimi r.']",Köhnə tikili,90 m²,3.0,0,0,1,0,3.0,3.0
498,5170157,178000,AZN,"['Qara Qarayev m.', 'Nizami r.', '8-ci kilometr q.']",Köhnə tikili,77 m²,3.0,1,1,1,0,4.0,5.0
504,5193402,115000,AZN,"['Neftçilər m.', 'Qara Qarayev m.', 'Nizami r.', '8-ci kilometr q.']",Köhnə tikili,50 m²,2.0,1,0,1,0,1.0,5.0
519,5194217,97000,AZN,"['Həzi Aslanov m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,40 m²,1.0,1,0,1,0,5.0,9.0
521,5188631,350000,AZN,"['Nizami kinoteatrı', 'Milli Konservatoriya', 'Bakı Musiqi Akademiyası', 'Xaqani bağı', 'Qış parkı', 'Sahil bağı', 'Sahil m.', '28 May m.', 'Səbail r.']",Köhnə tikili,102 m²,3.0,1,0,1,0,5.0,6.0
522,5193488,120000,AZN,"['Neftçilər m.', 'Nizami r.', '8-ci kilometr q.']",Köhnə tikili,47 m²,2.0,1,1,1,0,2.0,5.0
525,5193952,143500,AZN,"['Memar Əcəmi m.', 'Binəqədi r.', '9-cu mikrorayon q.']",Köhnə tikili,58 m²,2.0,1,1,1,0,1.0,9.0
528,5145725,195000,AZN,"['Səbail r.', 'Badamdar q.']",Köhnə tikili,70 m²,3.0,1,1,1,0,4.0,5.0
529,5193567,207000,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Köhnə tikili,110 m²,4.0,1,1,1,0,8.0,9.0
530,5183015,122000,AZN,"['8 Noyabr m.', 'Memar Əcəmi m.', 'Nəsimi r.', '3-cü mikrorayon q.']",Köhnə tikili,60 m²,3.0,1,0,1,0,5.0,5.0
547,5193864,600,AZN,"['Nəsimi m.', 'Binəqədi r.', '9-cu mikrorayon q.']",Köhnə tikili,65 m²,3.0,0,0,1,0,1.0,9.0
550,5190109,133000,AZN,"['Azadlıq Prospekti m.', 'Binəqədi r.', '7-ci mikrorayon q.']",Köhnə tikili,60 m²,2.0,1,0,1,0,2.0,5.0
553,5005249,2500,AZN,"['Xalça Muzeyi', 'Sahil m.', 'Fəvvarələr meydanı', 'Azərbaycan kinoteatrı', 'İçəri Şəhər m.', 'Səbail r.']",Köhnə tikili,130 m²,4.0,0,0,1,0,1.0,2.0
556,5192862,190000,AZN,"['Xalqlar Dostluğu m.', 'Nizami r.', '8-ci kilometr q.']",Köhnə tikili,120 m²,5.0,1,1,1,0,6.0,9.0
561,5193538,140000,AZN,"['Suraxanı r.', 'Yeni Günəşli q.']",Köhnə tikili,80 m²,3.0,1,0,1,0,3.0,9.0
572,5029400,147000,AZN,"['Suraxanı r.', 'Qaraçuxur q.']",Köhnə tikili,120 m²,5.0,1,0,1,0,9.0,9.0
577,5160637,210000,AZN,"['Xətai r.', 'Ağ şəhər q.']",Köhnə tikili,75 m²,3.0,1,1,1,0,4.0,5.0
590,5194393,125000,AZN,"['Nəsimi m.', 'Binəqədi r.', '6-cı mikrorayon q.']",Köhnə tikili,45 m²,2.0,1,0,1,0,1.0,5.0
591,5008195,164500,AZN,"['Xalqlar Dostluğu m.', 'Əhmədli m.', 'Xətai r.']",Köhnə tikili,65 m²,3.0,1,1,1,0,7.0,9.0
609,5068351,138000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,55 m²,2.0,1,0,1,0,4.0,5.0
613,4648651,110000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,50 m²,2.0,1,0,1,0,4.0,9.0
629,3450302,265000,AZN,"['Səməd Vurğun parkı', 'Azadlıq meydanı', '28 May m.', 'Səbail r.']",Köhnə tikili,100 m²,3.0,1,0,0,0,4.0,5.0
635,5185064,550,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.', 'Yasamal q.']",Köhnə tikili,60 m²,2.0,0,0,1,0,1.0,5.0
637,5094068,145000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Köhnə tikili,75 m²,3.0,1,0,1,0,5.0,5.0
661,5177041,115000,AZN,"['Memar Əcəmi m.', '20 Yanvar m.', 'Nəsimi r.', '3-cü mikrorayon q.']",Köhnə tikili,35 m²,1.0,1,0,1,0,3.0,5.0
680,5138036,168000,AZN,"['Xalqlar Dostluğu m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,84 m²,3.0,1,0,1,0,7.0,10.0
685,5192967,170000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Köhnə tikili,90 m²,3.0,1,1,1,0,5.0,5.0
697,5168094,240000,AZN,"['Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,100 m²,4.0,1,0,1,0,4.0,9.0
698,5149158,225000,AZN,"['Zoopark', 'Şərq bazarı', '28 May m.', 'Nəsimi r.']",Köhnə tikili,75 m²,3.0,1,0,1,0,5.0,5.0
702,5193869,159000,AZN,"['Zərifə Əliyeva adına park', 'Nəsimi m.', 'Binəqədi r.', '9-cu mikrorayon q.']",Köhnə tikili,65 m²,2.0,1,0,1,0,6.0,9.0
705,5193044,192000,AZN,"['Nəsimi bazarı', 'Park Zorge', 'Koala parkı', 'Nəsimi r.']",Köhnə tikili,85 m²,3.0,1,0,1,0,9.0,9.0
708,5169021,239000,AZN,"['Axundov bağı', 'Dövlət İdarəçilik Akademiyası', 'İqtisad Universiteti', 'İçəri Şəhər m.', 'Filarmoniya bağı', 'Prezident parkı', 'M.Ə.Sabir parkı', 'Nərimanov heykəli', 'Səbail r.']",Köhnə tikili,72 m²,3.0,1,0,1,0,2.0,4.0
724,5193625,1100,AZN,"['Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Bakı Musiqi Akademiyası', 'Milli Konservatoriya', '28 May m.', 'Nizami kinoteatrı', 'Pedaqoji Universiteti', 'Xaqani bağı', 'Sahil m.', 'Nəsimi r.']",Köhnə tikili,100 m²,3.0,0,0,1,0,5.0,9.0
729,5179964,208000,AZN,"['Gənclik m.', 'Nərimanov r.']",Köhnə tikili,65 m²,2.0,1,1,1,0,5.0,9.0
744,3775919,136500,AZN,"['Suraxanı r.', 'Yeni Günəşli q.']",Köhnə tikili,105 m²,4.0,1,1,1,0,9.0,9.0
759,5193618,160000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '5-ci mikrorayon q.']",Köhnə tikili,65 m²,3.0,1,0,1,0,4.0,5.0
766,5185959,890,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Köhnə tikili,60 m²,2.0,0,0,1,0,1.0,5.0
773,5156280,152000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,55 m²,2.0,1,1,1,0,7.0,9.0
779,5193283,115000,AZN,['Xətai r.'],Köhnə tikili,60 m²,2.0,1,1,1,0,8.0,9.0
780,5193089,114000,AZN,['Suraxanı r.'],Köhnə tikili,52 m²,2.0,1,0,1,0,8.0,9.0
784,5161900,190000,AZN,"['Memar Əcəmi m.', 'Binəqədi r.', '9-cu mikrorayon q.']",Köhnə tikili,85 m²,3.0,1,1,1,0,9.0,9.0
794,5133537,173000,AZN,"['Neftçi bazası', 'DİM', 'ASAN Xidmət №1', 'Nərimanov r.']",Köhnə tikili,75 m²,3.0,1,0,1,0,2.0,5.0
797,5193500,599,AZN,"['Bakı Slavyan Universiteti', '28 May m.', 'Nəsimi r.']",Köhnə tikili,65 m²,2.0,0,0,1,0,1.0,3.0
816,5193945,96000,AZN,['Xətai r.'],Köhnə tikili,55 m²,2.0,1,1,1,0,4.0,5.0
822,5194106,120000,AZN,"['Memar Əcəmi m.', '20 Yanvar m.', 'Nəsimi r.', '1-ci mikrorayon q.']",Köhnə tikili,55 m²,2.0,1,1,1,0,5.0,5.0
829,5127918,116000,AZN,"['Xalqlar Dostluğu m.', 'Nizami r.', '8-ci kilometr q.']",Köhnə tikili,55 m²,2.0,1,0,1,0,4.0,5.0
833,5084901,105000,AZN,"['Həzi Aslanov m.', 'Ukrayna dairəsi', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,45 m²,2.0,1,0,1,0,8.0,9.0
848,5159068,199900,AZN,"['Xalqlar Dostluğu m.', 'Əhmədli m.', 'Nizami r.']",Köhnə tikili,85 m²,3.0,1,1,1,0,9.0,10.0
868,5143915,136000,AZN,"['Zərifə Əliyeva adına park', 'Nəsimi m.', 'Memar Əcəmi m.', 'Binəqədi r.', '6-cı mikrorayon q.']",Köhnə tikili,60 m²,2.0,1,0,1,0,3.0,5.0
884,5143005,206000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Köhnə tikili,110 m²,4.0,1,1,1,0,8.0,9.0
887,5137726,116500,AZN,"['Xalqlar Dostluğu m.', 'Nizami r.', '8-ci kilometr q.']",Köhnə tikili,60 m²,3.0,1,0,1,0,4.0,5.0
900,5192892,300000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Köhnə tikili,145 m²,4.0,1,1,1,0,2.0,9.0
904,5073145,140000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Köhnə tikili,65 m²,2.0,1,0,1,0,8.0,9.0
916,5153623,79800,AZN,"['Avtovağzal m.', 'Binəqədi r.', 'Biləcəri q.']",Köhnə tikili,57 m²,2.0,1,0,1,0,2.0,2.0
931,5101310,140000,AZN,"['Dostluq kinoteatrı', 'Bakı Slavyan Universiteti', 'Azərbaycan Dillər Universiteti', 'Koala parkı', '28 May m.', 'Nəsimi r.']",Köhnə tikili,42 m²,1.0,1,1,1,0,4.0,4.0
933,4568429,153000,AZN,['Səbail r.'],Köhnə tikili,65 m²,3.0,1,1,1,0,2.0,5.0
934,5046297,175000,AZN,['Xətai r.'],Köhnə tikili,90 m²,3.0,1,1,1,0,9.0,9.0
942,5192848,800,AZN,"['ASAN Xidmət №1', 'Neftçi bazası', 'Tibb Universiteti', 'Nəsimi r.']",Köhnə tikili,90 m²,3.0,0,0,1,0,2.0,9.0
945,5193685,170000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '3-cü mikrorayon q.']",Köhnə tikili,80 m²,3.0,1,0,1,0,1.0,5.0
952,4682201,1100000,AZN,"['Azadlıq meydanı', 'Pedaqoji Universiteti', 'Sahil bağı', 'Sahil m.', '28 May m.', 'Səbail r.']",Köhnə tikili,240 m²,6.0,1,0,1,0,3.0,4.0
954,5193400,550,AZN,"['Dostluq kinoteatrı', 'Koala parkı', 'Zoopark', 'Nəsimi r.']",Köhnə tikili,55 m²,2.0,0,0,1,0,2.0,4.0
960,5068771,98000,AZN,"['Qara Qarayev m.', 'Nizami r.', '8-ci kilometr q.']",Köhnə tikili,35 m²,1.0,1,0,1,0,3.0,5.0
970,5148536,137000,AZN,"['Dostluq kinoteatrı', 'Koala parkı', 'Zoopark', 'Nəsimi r.']",Köhnə tikili,50 m²,2.0,1,0,1,0,5.0,5.0
978,5193284,187000,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Köhnə tikili,70 m²,3.0,1,0,1,0,3.0,5.0
983,5186425,500,AZN,"['Memar Əcəmi m.', '20 Yanvar m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,65 m²,2.0,0,0,1,0,1.0,5.0
995,5194162,140000,AZN,"['Şərq bazarı', '28 May m.', 'Nərimanov r.']",Köhnə tikili,50 m²,2.0,1,0,1,0,2.0,4.0
1010,5108078,127000,AZN,"['Yasamal bazarı', 'İnşaatçılar m.', 'Yasamal r.']",Köhnə tikili,60 m²,2.0,1,0,0,0,2.0,9.0
1011,5155802,140000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,75 m²,3.0,1,0,1,0,5.0,5.0
1014,5194385,650,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Köhnə tikili,90 m²,3.0,0,0,1,0,3.0,5.0
1029,5101124,155000,AZN,"['Səbail r.', 'Badamdar q.']",Köhnə tikili,70 m²,3.0,1,0,1,0,3.0,5.0
1030,5178389,102000,AZN,"['Koroğlu m.', 'Qara Qarayev m.', 'Nizami r.', '8-ci kilometr q.']",Köhnə tikili,38 m²,2.0,1,0,1,0,1.0,5.0
1031,5080724,99000,AZN,"['Xalqlar Dostluğu m.', 'Nizami r.']",Köhnə tikili,40 m²,2.0,1,0,1,0,2.0,5.0
1034,5193009,600,AZN,"['Zərifə Əliyeva adına park', 'Nəsimi m.', 'Nəsimi r.']",Köhnə tikili,85 m²,3.0,0,0,1,0,1.0,9.0
1036,5193655,195000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Köhnə tikili,105 m²,4.0,1,0,1,0,8.0,9.0
1040,5194152,650,AZN,"['Əhmədli m.', 'Xətai r.', 'Əhmədli q.']",Köhnə tikili,110 m²,5.0,0,0,1,0,2.0,9.0
1049,5194269,98500,AZN,"['Suraxanı r.', 'Hövsan q.']",Köhnə tikili,59 m²,2.0,1,1,1,0,5.0,10.0
1053,5193544,62000,AZN,"['Suraxanı r.', 'Yeni Günəşli q.']",Köhnə tikili,33 m²,1.0,1,0,1,0,5.0,7.0
1057,5191255,135000,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.']",Köhnə tikili,41 m²,1.0,1,0,1,0,1.0,7.0
1069,5164618,170000,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.', 'Yasamal q.']",Köhnə tikili,43 m²,2.0,1,0,1,0,2.0,4.0
1074,5160517,173000,AZN,"['Sabunçu r.', 'Bakıxanov q.']",Köhnə tikili,85 m²,3.0,1,1,1,0,8.0,9.0
1076,4866702,134900,AZN,"['Suraxanı r.', 'Yeni Günəşli q.']",Köhnə tikili,90 m²,3.0,1,1,1,0,6.0,9.0
1083,5074277,2000,AZN,"['Sahil m.', 'Xaqani bağı', 'Sahil bağı', 'Xalça Muzeyi', 'Nizami kinoteatrı', 'Pedaqoji Universiteti', '28 May m.', 'Səbail r.']",Köhnə tikili,160 m²,4.0,0,0,1,0,3.0,4.0
1096,5118721,500,AZN,"['Ayna Sultanova heykəli', 'Nərimanov r.']",Köhnə tikili,60 m²,2.0,0,0,1,0,4.0,5.0
