Unnamed: 0,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
59,5105601,214000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,120 m²,3.0,1,1,1,0,12.0,18.0
61,5168004,140000,AZN,"['Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,55 m²,2.0,1,1,1,0,4.0,12.0
63,5096475,162857,AZN,"['Sabunçu r.', 'Nardaran q.', 'Sea Breeze']",Yeni tikili,36.1 m²,1.0,0,0,1,0,9.0,11.0
65,5163938,550,AZN,"['Qara Qarayev m.', 'Nizami r.']",Yeni tikili,50 m²,2.0,0,0,1,0,11.0,16.0
66,4487889,110000,AZN,"['Binəqədi r.', 'Xocəsən q.']",Yeni tikili,112.4 m²,4.0,1,0,1,0,1.0,9.0
67,5173481,198000,AZN,"['ASAN Xidmət №3', 'Yasamal bazarı', 'Elmlər Akademiyası m.', 'Yasamal r.', 'Yasamal q.']",Yeni tikili,80 m²,2.0,1,1,1,0,10.0,20.0
69,5193397,258000,AZN,['Xətai r.'],Yeni tikili,127 m²,3.0,1,0,1,0,10.0,19.0
71,4927809,105000,AZN,"['Abşeron r.', 'Masazır q.']",Yeni tikili,71 m²,2.0,1,0,1,0,5.0,9.0
74,5120413,499000,AZN,"['Xətai r.', 'Ağ şəhər q.']",Yeni tikili,138 m²,3.0,0,0,0,0,3.0,8.0
76,5184847,1200,AZN,['Binəqədi r.'],Yeni tikili,70 m²,2.0,0,0,1,0,17.0,19.0
77,5182565,174000,AZN,['Sabunçu r.'],Yeni tikili,115 m²,3.0,1,0,1,0,5.0,20.0
80,5173221,305500,AZN,"['Səbail r.', 'Badamdar q.']",Yeni tikili,122 m²,3.0,1,0,1,0,12.0,14.0
83,5194020,88000,AZN,[],Yeni tikili,55 m²,2.0,1,0,1,0,16.0,16.0
87,4915365,230000,AZN,"['Qara Qarayev m.', 'Nizami r.', '8-ci kilometr q.']",Yeni tikili,86 m²,3.0,1,1,1,0,6.0,13.0
88,5143948,379500,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.']",Yeni tikili,86 m²,2.0,1,0,1,0,13.0,17.0
93,5190605,83000,AZN,"['Suraxanı r.', 'Qaraçuxur q.']",Yeni tikili,50 m²,1.0,1,0,1,0,3.0,5.0
97,5103336,118000,AZN,[],Yeni tikili,76 m²,3.0,1,0,1,0,6.0,14.0
98,3818903,330140,AZN,"['Nəsimi bazarı', 'Koala parkı', 'Park Zorge', 'Dostluq kinoteatrı', 'Nəsimi r.']",Yeni tikili,97.6 m²,2.0,1,1,0,0,14.0,16.0
104,5194265,275000,AZN,"['Ayna Sultanova heykəli', 'Nərimanov r.']",Yeni tikili,115 m²,3.0,1,0,1,0,18.0,20.0
108,5194402,63000,AZN,"['Abşeron r.', 'Masazır q.']",Yeni tikili,57 m²,1.0,0,0,0,0,2.0,9.0
109,5153012,269000,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.', 'Ağ şəhər q.']",Yeni tikili,85 m²,2.0,1,1,1,0,15.0,17.0
110,4894081,255000,AZN,"['Səbail r.', 'Bayıl q.']",Yeni tikili,116 m²,3.0,1,1,1,0,6.0,16.0
113,5157209,142000,AZN,['Xətai r.'],Yeni tikili,52 m²,2.0,1,0,1,0,10.0,18.0
114,4668047,283000,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.']",Yeni tikili,86 m²,2.0,1,0,0,0,3.0,17.0
115,5182927,190000,AZN,"['Nizami r.', '8-ci kilometr q.']",Yeni tikili,120 m²,3.0,0,0,1,0,15.0,19.0
117,5158388,249900,AZN,"['ASAN Xidmət №2', 'Şah İsmayıl Xətai m.', 'Xətai r.', 'Ağ şəhər q.']",Yeni tikili,95 m²,2.0,1,0,1,0,8.0,16.0
119,5043703,199000,AZN,"['Sea Breeze', 'Sabunçu r.', 'Nardaran q.']",Yeni tikili,60 m²,1.0,0,0,0,0,5.0,7.0
121,5002258,240000,AZN,"['Montin bazarı', 'Nərimanov r.']",Yeni tikili,94.7 m²,2.0,0,0,0,0,10.0,15.0
122,5193797,160000,AZN,"['Nəsimi m.', 'Binəqədi r.', '9-cu mikrorayon q.']",Yeni tikili,63 m²,2.0,1,0,1,0,8.0,16.0
125,5112764,355000,AZN,"['Şərq bazarı', 'Nərimanov r.']",Yeni tikili,180 m²,4.0,1,1,1,0,13.0,16.0
126,5157991,49500,AZN,['Abşeron r.'],Yeni tikili,31 m²,2.0,0,0,1,0,3.0,18.0
127,4939251,380000,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.']",Yeni tikili,86 m²,2.0,1,0,1,0,12.0,17.0
130,5076162,152000,AZN,"['Avtovağzal m.', 'Binəqədi r.', 'Biləcəri q.']",Yeni tikili,92 m²,2.0,0,0,0,0,7.0,12.0
132,4713407,2700,AZN,"['Səməd Vurğun parkı', 'Azadlıq meydanı', 'Port Baku', '28 May m.', 'Nəsimi r.']",Yeni tikili,125 m²,3.0,0,0,1,0,10.0,18.0
134,5124185,730,AZN,"['Səbail r.', 'Badamdar q.']",Yeni tikili,110 m²,2.0,0,0,1,0,6.0,16.0
137,5183300,235000,AZN,"['Səbail r.', 'Bayıl q.']",Yeni tikili,124.8 m²,3.0,1,0,1,0,7.0,17.0
139,4905656,550000,AZN,"['Dövlət Statistika Komitəsi', 'Mərkəzi Park', 'İzmir parkı', 'M.Hüseynzadə parkı', 'İncəsənət və Mədəniyyət Un.', 'Nizami m.', 'Yasamal r.']",Yeni tikili,215 m²,4.0,1,1,1,0,20.0,22.0
140,5115198,395000,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Yeni tikili,132 m²,4.0,1,0,1,0,12.0,14.0
142,5176654,210000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Yeni tikili,103 m²,3.0,1,0,1,0,15.0,17.0
143,4182983,2210000,AZN,"['Port Baku', 'Cavanşir körpüsü', 'Nəsimi r.']",Yeni tikili,265 m²,5.0,1,0,1,0,17.0,32.0
147,5193748,850,AZN,"['Azərbaycan turizm institutu', 'Nəriman Nərimanov m.', 'Gənclik m.', 'Nərimanov r.']",Yeni tikili,100 m²,3.0,0,0,1,0,9.0,17.0
150,5178742,49800,AZN,"['Abşeron r.', 'Masazır q.']",Yeni tikili,51 m²,1.0,0,0,0,0,8.0,8.0
151,5100788,326000,AZN,"['Sea Breeze', 'Sabunçu r.', 'Nardaran q.']",Yeni tikili,71 m²,2.0,0,0,1,0,2.0,5.0
154,5134515,157000,AZN,"['Qara Qarayev m.', 'Nizami r.']",Yeni tikili,60 m²,2.0,1,0,1,0,12.0,17.0
155,5159974,138500,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Yeni tikili,40 m²,2.0,1,0,1,0,4.0,5.0
156,3797075,50,AZN,"['ASAN Xidmət №1', 'Neftçi bazası', 'Tibb Universiteti', 'Nəsimi r.']",Yeni tikili,94 m²,2.0,0,0,1,0,10.0,17.0
159,5179610,170000,AZN,"['Qara Qarayev m.', 'Nizami r.', '8-ci kilometr q.']",Yeni tikili,70 m²,2.0,1,1,1,0,15.0,17.0
160,5115363,355000,AZN,"['Şərq bazarı', 'Nərimanov r.']",Yeni tikili,180 m²,4.0,1,0,1,0,13.0,16.0
162,5042690,345000,AZN,"['Grand Hayat Residence', 'Yasamal r.']",Yeni tikili,122.3 m²,3.0,1,1,1,0,14.0,17.0
163,5109868,187000,AZN,"['Binəqədi r.', '8-ci mikrorayon q.', 'Ayna Sultanova heykəli', 'Azadlıq Prospekti m.']",Yeni tikili,75 m²,2.0,1,0,1,0,6.0,16.0
165,4866572,246000,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.']",Yeni tikili,90 m²,2.0,0,0,1,0,7.0,18.0
167,4362085,40,AZN,"['Şərq bazarı', 'Nərimanov r.', 'Nəriman Nərimanov m.', 'Gənclik m.', 'Təhsil Nazirliyi']",Yeni tikili,75 m²,2.0,0,0,1,0,3.0,10.0
169,3736065,50,AZN,"['Azərbaycan Dillər Universiteti', 'Bakı Slavyan Universiteti', 'Sirk', '28 May m.', 'Nəsimi r.']",Yeni tikili,52 m²,2.0,0,0,1,0,13.0,18.0
170,4057824,135845,AZN,"['8 Noyabr m.', 'Nəsimi r.']",Yeni tikili,50.5 m²,1.0,0,1,0,0,6.0,16.0
172,5187826,610000,AZN,"['Elmlər Akademiyası m.', 'İnşaatçılar m.', 'Yasamal r.', 'Yasamal q.']",Yeni tikili,271 m²,4.0,0,0,1,0,6.0,21.0
175,5181242,185000,AZN,"['ASAN Xidmət №1', 'Tibb Universiteti', 'Nərimanov r.']",Yeni tikili,70 m²,2.0,1,1,0,0,16.0,18.0
179,5194260,115000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,58 m²,1.0,0,0,0,0,17.0,19.0
180,5193004,177000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,82 m²,3.0,1,0,1,0,4.0,12.0
187,5104735,3000,AZN,"['Axundov bağı', 'İqtisad Universiteti', 'Dövlət İdarəçilik Akademiyası', 'Sovetski', 'İçəri Şəhər m.', 'Nərimanov heykəli', 'Prezident parkı', 'Filarmoniya bağı', 'M.Ə.Sabir parkı', 'Səbail r.']",Yeni tikili,80 m²,2.0,0,0,1,0,13.0,14.0
188,5143364,1000,AZN,"['Nəriman Nərimanov m.', 'Nəriman Nərimanov parkı', 'Nərimanov r.']",Yeni tikili,128 m²,3.0,0,0,1,0,16.0,17.0
192,5193257,890000,AZN,"['Sevil Qazıyeva parkı', 'Rusiya səfirliyi', 'M.Hüseynzadə parkı', 'Nizami m.', 'Nəsimi r.']",Yeni tikili,210 m²,4.0,1,1,1,0,2.0,12.0
193,4042583,50,AZN,"['Şərq bazarı', 'Nərimanov r.']",Yeni tikili,45 m²,2.0,0,0,1,0,17.0,17.0
198,5193349,235000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,147 m²,3.0,1,1,1,0,2.0,17.0
199,5107722,125000,AZN,"['Binəqədi r.', 'Biləcəri q.']",Yeni tikili,76 m²,3.0,1,0,1,0,3.0,4.0
201,5193764,650,AZN,"['Əhmədli m.', 'Xətai r.']",Yeni tikili,70 m²,2.0,0,0,1,0,7.0,14.0
202,5037661,67500,AZN,"['Abşeron r.', 'Masazır q.']",Yeni tikili,40 m²,2.0,1,0,1,0,6.0,7.0
203,4679997,2500,AZN,"['Ağ şəhər', 'Xətai r.', 'Ağ şəhər q.']",Yeni tikili,120 m²,4.0,0,0,1,0,5.0,7.0
206,4394441,370000,AZN,"['Azərbaycan kinoteatrı', 'İçəri Şəhər', 'Fəvvarələr meydanı', 'M.Ə.Sabir parkı', 'Xalça Muzeyi', 'Azneft meydanı', 'İçəri Şəhər m.', 'Sahil m.', 'Səbail r.']",Yeni tikili,102 m²,5.0,1,1,1,0,3.0,5.0
207,5166948,240000,AZN,"['Xətai r.', 'Əhmədli q.']",Yeni tikili,130 m²,4.0,1,0,1,0,6.0,16.0
212,5193455,400,AZN,[],Yeni tikili,62 m²,3.0,0,0,1,0,3.0,8.0
