,Item_id,Amount,Currency,Location,Category,Area,Number_of_rooms,Frontage,Mortgage,Condition,Land_area,Current_floor,Total_floors
586,5175927,1350,AZN,"['Təhsil Nazirliyi', 'Nərimanov r.']",Yeni tikili,150 m²,3.0,0,0,1,0,9.0,18.0
587,4409888,200,AZN,"['Abşeron r.', 'Novxanı q.']",Həyət evi/Bağ evi,250 m²,5.0,0,0,1,5 sot,0.0,0.0
588,4365196,365000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Torpaq,0,0.0,1,0,0,12 sot,0.0,0.0
589,5123509,244000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Yeni tikili,102.8 m²,3.0,1,1,1,0,16.0,20.0
590,5194393,125000,AZN,"['Nəsimi m.', 'Binəqədi r.', '6-cı mikrorayon q.']",Köhnə tikili,45 m²,2.0,1,0,1,0,1.0,5.0
591,5008195,164500,AZN,"['Xalqlar Dostluğu m.', 'Əhmədli m.', 'Xətai r.']",Köhnə tikili,65 m²,3.0,1,1,1,0,7.0,9.0
592,5193357,78000,AZN,['Abşeron r.'],Yeni tikili,65 m²,1.0,0,0,0,0,13.0,18.0
593,5171516,650,AZN,"['20 Yanvar m.', '8 Noyabr m.', 'Yasamal r.']",Yeni tikili,60 m²,2.0,0,0,1,0,15.0,19.0
594,5184435,320000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,170 m²,4.0,1,0,1,4 sot,0.0,0.0
595,5097195,360000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,180 m²,4.0,1,1,1,7 sot,0.0,0.0
596,5168620,223000,AZN,"['Binəqədi r.', '8-ci mikrorayon q.']",Yeni tikili,68 m²,2.0,1,0,1,0,16.0,19.0
597,5166410,900,AZN,"['Grand Hayat Residence', 'Nəsimi r.']",Yeni tikili,118 m²,2.0,0,0,1,0,4.0,12.0
598,5193285,199000,AZN,"['Səbail r.', 'Badamdar q.']",Yeni tikili,69 m²,2.0,1,1,1,0,15.0,16.0
599,5135098,205000,AZN,"['Qara Qarayev m.', 'Nizami r.', '8-ci kilometr q.']",Yeni tikili,92 m²,2.0,0,0,1,0,14.0,16.0
600,5176720,460000,AZN,"['Nəriman Nərimanov parkı', 'Rəssamlıq Akademiyası', 'Nəriman Nərimanov m.', 'Nərimanov r.']",Yeni tikili,137 m²,3.0,0,0,1,0,9.0,16.0
601,4875633,490000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,240 m²,5.0,1,0,1,6 sot,0.0,0.0
602,5001325,691000,AZN,"['Ağ şəhər', 'ASAN Xidmət №2', 'Xətai r.', 'Ağ şəhər q.']",Yeni tikili,210 m²,4.0,0,0,0,0,8.0,8.0
603,5125339,1550,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yasamal q.']",Obyekt,74 m²,0.0,0,0,1,0,0.0,0.0
604,5180887,215000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Yeni tikili,118 m²,3.0,1,1,1,0,7.0,12.0
605,5018602,242000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Yeni tikili,97 m²,3.0,1,0,1,0,11.0,16.0
606,4784103,380000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,300 m²,5.0,1,0,1,3.7 sot,0.0,0.0
607,5129078,125000,AZN,['Xətai r.'],Yeni tikili,50 m²,2.0,0,0,1,0,5.0,7.0
608,5187327,700,AZN,"['Sabunçu r.', 'Bakıxanov q.']",Yeni tikili,60 m²,2.0,0,0,1,0,19.0,20.0
609,5068351,138000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,55 m²,2.0,1,0,1,0,4.0,5.0
610,5074544,98000,AZN,"['Abşeron r.', 'Masazır q.']",Həyət evi/Bağ evi,150 m²,4.0,1,1,1,1.5 sot,0.0,0.0
611,5170336,500000,AZN,"['Həzi Aslanov m.', 'Xətai r.', 'Həzi Aslanov q.']",Obyekt,200 m²,0.0,1,0,1,0,0.0,0.0
612,5042128,460000,AZN,"['Səbail r.', 'Badamdar q.']",Həyət evi/Bağ evi,240 m²,7.0,1,0,1,2.5 sot,0.0,0.0
613,4648651,110000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,50 m²,2.0,1,0,1,0,4.0,9.0
614,5190388,9000,AZN,"['Abşeron r.', 'Novxanı q.']",Obyekt,1822 m²,0.0,0,0,0,0,0.0,0.0
615,3919154,241610,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.']",Yeni tikili,65.3 m²,1.0,1,0,0,0,10.0,21.0
616,4907665,630000,AZN,"['Elmlər Akademiyası m.', 'Yasamal r.']",Yeni tikili,155.3 m²,3.0,1,0,1,0,13.0,16.0
617,4588172,240000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,140 m²,4.0,1,0,1,3 sot,0.0,0.0
618,5151287,188000,AZN,"['Neftçilər m.', 'Qara Qarayev m.', 'Nizami r.']",Yeni tikili,90 m²,3.0,1,0,0,0,13.0,17.0
619,5152395,370000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,220 m²,5.0,1,0,1,3 sot,0.0,0.0
620,5136437,760000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,440 m²,6.0,1,1,1,6 sot,0.0,0.0
621,5193149,400000,AZN,"['ASAN Xidmət №1', 'Neftçi bazası', 'Nərimanov r.']",Yeni tikili,186 m²,4.0,1,0,1,0,12.0,16.0
622,5166899,1000000,AZN,"['Zoopark', 'Nərimanov r.']",Yeni tikili,150 m²,3.0,1,1,1,0,11.0,18.0
623,5158564,105000,AZN,['Abşeron r.'],Yeni tikili,166 m²,6.0,0,0,0,0,2.0,2.0
624,5181774,128000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,63 m²,1.0,0,0,1,0,2.0,19.0
625,5121645,230000,AZN,"['20 Yanvar m.', 'Yasamal r.']",Yeni tikili,105 m²,3.0,1,0,1,0,17.0,19.0
